id,eventDate,value,creationDate
aee7dd12-4652-42b2-925e-338da8f4151e,2020-08-08,60,2020-08-10
a8626ab4-4b61-4381-ad7c-c111f047b397,2020-08-06,40,2020-08-10
f36832aa-2698-40e3-ba14-722edca2a1b7,2020-08-06,99,2020-08-10
236652cb-defd-4124-b6da-0d315700bbdc,2020-08-10,69,2020-08-10
12e448b2-dde6-4dce-8fe3-105d9292b13e,2020-08-06,88,2020-08-10
2b1399b9-6cb8-4062-a420-63d32b289e4d,2020-08-04,55,2020-08-10
70b5476a-9fc0-4a39-849a-b41624ce0764,2020-08-06,65,2020-08-10
f3ec4d2b-eadd-4e3a-a4f3-23d7b06a0592,2020-08-08,92,2020-08-10
92f57d26-3a50-4b8b-a14d-b3861b759d84,2020-08-10,34,2020-08-10
27741a32-e630-483f-94e2-4646382fccc3,2020-08-08,33,2020-08-10
0b9adb13-374a-4161-a1f7-3a37db0ec9ba,2020-08-10,25,2020-08-10
5aa7416e-39a7-4b84-9371-5fc4af7fe742,2020-08-04,78,2020-08-10
1cf8b944-0fcd-40d3-983c-0fae3ed5311e,2020-08-06,11,2020-08-10
d8717dbf-d118-4420-b5e8-205064150a2b,2020-08-09,87,2020-08-10
1d596b43-9032-4f21-89ed-27e9e955751d,2020-08-04,42,2020-08-10
779c36cf-5690-4ec3-8f40-0cccb8e09e21,2020-08-10,66,2020-08-10
956e0d00-27b3-4df7-b1e0-aa4b99afa3e0,2020-08-07,18,2020-08-10
0554358f-79ad-4888-a654-0d91c9c1e00b,2020-08-10,48,2020-08-10
6da865a2-3dd9-4a0d-b65e-9bddcb365c5c,2020-08-05,67,2020-08-10
f9b19c96-ed12-4e18-95e2-2d040bec23c1,2020-08-10,78,2020-08-10
3b6af5d4-6480-4a92-aafb-caf7426614eb,2020-08-04,77,2020-08-10
32d3915d-df34-45b5-b453-e97ce60724ca,2020-08-05,56,2020-08-10
83708292-1ab9-4bd6-8063-1e75ac143a36,2020-08-09,79,2020-08-10
d4e8ad87-4dbc-4b86-97f6-bb0cad8c1ef3,2020-08-06,95,2020-08-10
e36b4da4-4575-46ff-9666-96b091d248ee,2020-08-04,90,2020-08-10
1f09f593-a146-47bf-b723-741423441b9b,2020-08-08,13,2020-08-10
d6f61403-77a4-4978-82ed-415e1d5afd68,2020-08-09,39,2020-08-10
7626891e-0b1e-4fd4-97ac-55c0b2f44f32,2020-08-06,96,2020-08-10
1cbd58f3-b6bb-49c9-8ca5-1be378473a12,2020-08-06,43,2020-08-10
5835021b-2564-4b43-8f69-9c27289a5aa4,2020-08-10,45,2020-08-10
9cb9e64b-b93a-4a6b-9a94-ee1f1e18c135,2020-08-06,43,2020-08-10
6f49187e-7e4f-47d5-8f62-8dd9a6e7799f,2020-08-04,10,2020-08-10
1a5f3bcf-af2c-48a6-ba7c-0b53334a854a,2020-08-06,74,2020-08-10
d88311ae-eff0-42e1-97fb-6c48d7cf3f01,2020-08-09,20,2020-08-10
a54991c9-8231-4a69-afa1-5a5bdc09a500,2020-08-05,18,2020-08-10
85d830cc-3419-4c6d-9e83-06e2906a4eb6,2020-08-04,26,2020-08-10
f67f2724-a32e-4ecf-9543-8f6fc816056c,2020-08-09,71,2020-08-10
20d834b7-8ff4-4e62-bca3-4934139cd79b,2020-08-09,71,2020-08-10
f2e70440-647b-42fb-87a1-97981ea29388,2020-08-04,53,2020-08-10
418e9e0b-7e7e-4cdd-a6a2-258be79ee578,2020-08-06,77,2020-08-10
f2955028-93d1-4407-8f11-df163e7b16e3,2020-08-04,25,2020-08-10
f1371e5f-2a2b-4de1-afcc-952ed5df7850,2020-08-06,24,2020-08-10
e482a279-e62b-4c51-aa8d-d6d60ef73997,2020-08-05,24,2020-08-10
68e83280-a4cd-4812-916e-f7178cb12a48,2020-08-04,28,2020-08-10
bc0ef282-e53a-486e-a051-664a40bf177a,2020-08-04,32,2020-08-10
6d66b811-0d86-4673-ab1d-c6d4952dc768,2020-08-05,33,2020-08-10
e135799f-07b4-4d54-8d5d-f887cee782f6,2020-08-04,61,2020-08-10
1f4620f8-dd95-4227-916e-cfd3c3bbc9dc,2020-08-04,74,2020-08-10
cb95fa10-e0e0-4513-af6b-246b5100c7eb,2020-08-04,93,2020-08-10
6bdb15d6-e5a4-4208-851f-21f857c083a1,2020-08-09,58,2020-08-10
827b1000-8a09-4a19-9bd5-e29242ce4851,2020-08-08,11,2020-08-10
b20944ba-7a67-4c50-8f85-5efff82f67d1,2020-08-04,31,2020-08-10
3f13cb72-5946-40bf-92ee-f348473a2a21,2020-08-07,16,2020-08-10
32df290c-d8ca-4ff5-a3e0-d130d9243e01,2020-08-06,18,2020-08-10
31b6a842-9931-48f5-83b7-e4c2ef1053fb,2020-08-09,96,2020-08-10
beb768a0-b506-4a4d-a93b-3c0a14ee6846,2020-08-09,100,2020-08-10
fecac741-8f6c-4875-a1e7-d0d77635e3ce,2020-08-10,59,2020-08-10
00b204a4-e659-40c6-a8b1-ba7330d11b13,2020-08-10,14,2020-08-10
6816fd5f-8ef8-4cfe-937f-9fdbaef481c3,2020-08-09,25,2020-08-10
6277af14-3fbd-47a7-97cc-80c1f50b631c,2020-08-05,81,2020-08-10
0f2019c0-be3e-4cfa-b750-2f1a83d70894,2020-08-05,14,2020-08-10
f6bd0ceb-0648-4e42-b4da-88de224b77f2,2020-08-09,46,2020-08-10
b54c6699-dbe3-4f55-8e5b-040c001db652,2020-08-08,88,2020-08-10
3e9de886-e072-4832-a162-74f49ae37b9f,2020-08-10,24,2020-08-10
9dfdd8c8-9113-454d-b28a-34df630a504b,2020-08-10,45,2020-08-10
68e41242-9426-4132-903f-d510d7eb0805,2020-08-07,44,2020-08-10
0308c1d0-eaf4-4936-ba03-467edf2b9ff3,2020-08-10,74,2020-08-10
31630487-62d3-4aef-ae22-8f8517bb8b04,2020-08-06,23,2020-08-10
e797c834-0928-4994-a14f-91e5d1d059a4,2020-08-07,31,2020-08-10
66731d53-7531-46cd-bcdc-e1cedfe03b5e,2020-08-06,81,2020-08-10
4e418e6a-a85b-4f61-b185-7aa4e929e2fe,2020-08-08,24,2020-08-10
8490b264-8040-4407-9523-e8d085ebe7e6,2020-08-04,91,2020-08-10
1ebb2438-dde5-497c-9da2-579a6a8ea6e8,2020-08-05,63,2020-08-10
07cc9472-ff2c-4a67-a1cf-da4d8d46d5ce,2020-08-10,26,2020-08-10
adb7f355-b45d-4f18-8d0f-20e960926572,2020-08-08,76,2020-08-10
aa215880-9d27-427f-a665-5baac40e451e,2020-08-09,49,2020-08-10
b134e98a-3830-4f8a-9d39-ddbfabf149b9,2020-08-05,66,2020-08-10
b21db6c1-4d28-47ac-affc-e625fbe6d4c5,2020-08-10,100,2020-08-10
9d8d99e4-a05b-4df2-a3c5-77e4e1a0f207,2020-08-10,65,2020-08-10
a27b8410-96c5-47b2-8e5e-9eb1bb9eaeb3,2020-08-04,99,2020-08-10
a60f6290-7163-478a-b06b-b12996d28959,2020-08-06,71,2020-08-10
fe64dae3-1110-4e1e-a128-df2d6b2a406c,2020-08-08,66,2020-08-10
bcec6b3d-2d8a-4a51-aacb-f48913589b9f,2020-08-06,63,2020-08-10
2594f8e1-c93d-4ef6-b310-cb0758368336,2020-08-04,82,2020-08-10
40bd9c24-fa0a-450a-baa1-5fa8d4e14b91,2020-08-10,92,2020-08-10
3fe7c8d0-d73d-43ab-acb7-4fc64b3fd045,2020-08-08,29,2020-08-10
28bcdc76-9509-444b-9b41-1ffba5998421,2020-08-09,54,2020-08-10
c0fa0227-4f3d-4525-b39c-0a586343fead,2020-08-04,48,2020-08-10
b771b00d-c083-4320-b06a-b4254fce92f6,2020-08-05,12,2020-08-10
b0e3fb1a-b831-4b17-a234-f0211bbabb18,2020-08-05,17,2020-08-10
119a652b-ebad-4bdf-8330-1b78fd4b3bed,2020-08-06,26,2020-08-10
d5618894-ea97-4fdf-8985-83ae4c56a0e5,2020-08-05,28,2020-08-10
3cb611cb-77a6-4f12-8316-df572fbd66ee,2020-08-09,60,2020-08-10
bc93f520-1b72-486f-bc09-f85f282fd1b5,2020-08-08,100,2020-08-10
836d0fdf-576c-491d-a338-b1943f6fc0df,2020-08-07,49,2020-08-10
b63ccd49-b824-4ca9-bf6d-87704627bfe9,2020-08-04,96,2020-08-10
c2f69a97-5f53-420e-a3b5-c7545c9999d1,2020-08-08,16,2020-08-10
fd18b219-5262-4d37-a4e5-cb310f1752f3,2020-08-08,40,2020-08-10
c532162a-7893-4b50-8e5a-97322ba68e65,2020-08-08,37,2020-08-10
b8f59694-a71a-4089-bfed-083714a05fdf,2020-08-06,48,2020-08-10
